p1,r1,y1,p2,r2,y2,t_ms
0.15,9.55,-108.92,-1.28,176.54,139.68,262225
0.12,9.49,-108.92,-1.25,176.49,139.69,262241
0.09,9.52,-108.93,-1.27,176.49,139.70,262257
0.08,9.51,-108.94,-1.25,176.49,139.71,262273
0.06,9.52,-108.95,-1.27,176.51,139.72,262289
0.04,9.51,-108.96,-1.28,176.54,139.73,262305
0.05,9.51,-108.97,-1.29,176.53,139.74,262321
0.05,9.51,-108.98,-1.29,176.54,139.75,262337
0.04,9.51,-108.99,-1.29,176.51,139.76,262353
0.03,9.51,-109.00,-1.28,176.48,139.77,262369
0.02,9.54,-109.00,-1.26,176.48,139.78,262385
0.04,9.53,-109.01,-1.25,176.48,139.79,262401
0.04,9.50,-109.02,-1.24,176.50,139.80,262417
0.04,9.51,-109.03,-1.24,176.50,139.81,262433
0.03,9.50,-109.04,-1.23,176.49,139.82,262449
0.03,9.50,-109.05,-1.23,176.46,139.83,262465
0.02,9.49,-109.06,-1.22,176.47,139.84,262481
0.01,9.50,-109.07,-1.22,176.46,139.85,262497
0.01,9.53,-109.08,-1.23,176.47,139.86,262513
0.02,9.51,-109.08,-1.23,176.47,139.87,262529
0.03,9.53,-109.09,-1.22,176.47,139.88,262545
0.00,9.53,-109.10,-1.23,176.46,139.89,262561
-0.00,9.53,-109.11,-1.24,176.46,139.90,262577
0.01,9.53,-109.12,-1.23,176.47,139.91,262593
0.02,9.51,-109.13,-1.22,176.45,139.92,262609
0.03,9.51,-109.14,-1.22,176.45,139.93,262625
0.03,9.52,-109.15,-1.22,176.43,139.94,262641
0.04,9.51,-109.16,-1.23,176.44,139.95,262657
0.04,9.52,-109.17,-1.23,176.43,139.96,262673
0.05,9.51,-109.18,-1.22,176.43,139.97,262689
0.05,9.50,-109.19,-1.22,176.44,139.98,262705
0.04,9.50,-109.19,-1.22,176.45,139.99,262721
0.02,9.51,-109.20,-1.23,176.45,140.01,262737
0.03,9.51,-109.21,-1.22,176.44,140.01,262753
0.03,9.51,-109.22,-1.23,176.44,140.02,262769
0.04,9.51,-109.23,-1.25,176.44,140.04,262785
0.04,9.51,-109.24,-1.25,176.44,140.05,262801
0.03,9.51,-109.25,-1.25,176.43,140.06,262817
0.01,9.52,-109.26,-1.24,176.42,140.07,262833
0.01,9.52,-109.27,-1.24,176.41,140.08,262849
0.00,9.52,-109.28,-1.23,176.41,140.09,262865
0.00,9.52,-109.29,-1.23,176.41,140.10,262881
0.00,9.52,-109.29,-1.23,176.42,140.11,262897
0.01,9.51,-109.30,-1.24,176.43,140.12,262913
0.02,9.51,-109.31,-1.25,176.41,140.13,262929
0.03,9.52,-109.32,-1.24,176.42,140.14,262945
0.03,9.52,-109.33,-1.24,176.43,140.15,262961
0.03,9.52,-109.34,-1.23,176.43,140.16,262977
0.02,9.51,-109.35,-1.23,176.43,140.17,262993
0.02,9.51,-109.36,-1.24,176.43,140.18,263009
0.03,9.52,-109.37,-1.24,176.42,140.19,263025
0.03,9.52,-109.38,-1.25,176.42,140.20,263041
0.05,9.51,-109.38,-1.26,176.42,140.21,263057
0.05,9.52,-109.39,-1.26,176.43,140.22,263073
0.05,9.52,-109.40,-1.27,176.44,140.23,263089
0.04,9.52,-109.41,-1.26,176.45,140.24,263105
0.03,9.52,-109.42,-1.26,176.44,140.26,263121
0.03,9.52,-109.43,-1.26,176.44,140.27,263137
0.03,9.52,-109.44,-1.26,176.44,140.28,263153
0.03,9.52,-109.45,-1.27,176.44,140.29,263169
0.03,9.52,-109.46,-1.27,176.44,140.30,263185
0.02,9.53,-109.47,-1.26,176.45,140.31,263201
0.01,9.52,-109.47,-1.25,176.45,140.32,263217
0.01,9.52,-109.48,-1.24,176.45,140.33,263233
-0.00,9.53,-109.49,-1.24,176.44,140.34,263249
-0.00,9.53,-109.50,-1.24,176.44,140.35,263265
-0.01,9.53,-109.51,-1.25,176.44,140.36,263281
-0.00,9.52,-109.52,-1.25,176.44,140.37,263297
-0.01,9.52,-109.53,-1.25,176.44,140.38,263313
-0.00,9.52,-109.54,-1.25,176.45,140.39,263329
-0.00,9.52,-109.55,-1.25,176.45,140.40,263345
-0.01,9.52,-109.55,-1.25,176.45,140.41,263361
-0.00,9.52,-109.56,-1.26,176.45,140.42,263377
0.00,9.52,-109.57,-1.27,176.45,140.44,263393
0.01,9.51,-109.58,-1.27,176.45,140.45,263409
0.02,9.51,-109.59,-1.28,176.45,140.46,263425
0.03,9.51,-109.60,-1.28,176.46,140.47,263441
0.02,9.52,-109.61,-1.28,176.46,140.48,263457
0.02,9.52,-109.62,-1.28,176.46,140.49,263473
0.02,9.52,-109.63,-1.28,176.47,140.50,263489
0.02,9.51,-109.63,-1.28,176.48,140.51,263505
0.01,9.52,-109.64,-1.28,176.47,140.52,263521
0.01,9.52,-109.65,-1.28,176.47,140.53,263537
-0.00,9.53,-109.66,-1.28,176.47,140.54,263553
-0.00,9.53,-109.67,-1.28,176.47,140.55,263569
-0.00,9.53,-109.68,-1.27,176.47,140.56,263585
-0.01,9.53,-109.69,-1.27,176.47,140.57,263601
-0.00,9.53,-109.70,-1.27,176.47,140.58,263617
0.00,9.53,-109.70,-1.27,176.47,140.59,263633
0.01,9.53,-109.71,-1.26,176.47,140.60,263649
0.02,9.53,-109.72,-1.26,176.47,140.61,263665
0.02,9.52,-109.73,-1.26,176.47,140.62,263681
0.02,9.52,-109.74,-1.26,176.47,140.63,263697
0.02,9.52,-109.75,-1.26,176.47,140.64,263713
0.02,9.52,-109.76,-1.26,176.48,140.65,263729
0.01,9.52,-109.77,-1.27,176.48,140.66,263745
0.02,9.52,-109.78,-1.27,176.48,140.67,263761
0.02,9.52,-109.78,-1.27,176.48,140.68,263777
0.02,9.52,-109.79,-1.27,176.48,140.69,263793
0.02,9.53,-109.80,-1.28,176.48,140.70,263809
0.02,9.53,-109.81,-1.28,176.49,140.71,263825
0.03,9.53,-109.82,-1.28,176.48,140.72,263841
0.04,9.53,-109.83,-1.27,176.48,140.74,263857
0.04,9.53,-109.84,-1.27,176.48,140.75,263873
0.04,9.53,-109.85,-1.27,176.48,140.76,263889
0.04,9.53,-109.85,-1.27,176.48,140.77,263905
0.04,9.53,-109.86,-1.27,176.48,140.78,263921
0.04,9.53,-109.87,-1.27,176.48,140.79,263937
0.04,9.53,-109.88,-1.27,176.49,140.80,263953
0.04,9.53,-109.89,-1.27,176.49,140.81,263969
0.04,9.53,-109.90,-1.27,176.49,140.82,263985
0.04,9.53,-109.91,-1.27,176.49,140.83,264001
0.04,9.53,-109.92,-1.27,176.49,140.84,264017
0.04,9.52,-109.93,-1.27,176.48,140.85,264033
0.04,9.52,-109.93,-1.27,176.49,140.86,264049
0.05,9.52,-109.94,-1.27,176.49,140.87,264065
0.05,9.52,-109.95,-1.26,176.49,140.88,264081
0.05,9.52,-109.96,-1.26,176.49,140.89,264097
0.05,9.53,-109.97,-1.26,176.49,140.90,264113
0.05,9.53,-109.98,-1.27,176.49,140.91,264129
0.05,9.52,-109.99,-1.27,176.49,140.92,264145
0.04,9.53,-110.00,-1.27,176.49,140.93,264161
0.05,9.53,-110.00,-1.27,176.48,140.94,264177
0.05,9.53,-110.01,-1.27,176.48,140.95,264193
0.06,9.53,-110.02,-1.27,176.48,140.96,264209
0.05,9.53,-110.03,-1.27,176.48,140.98,264225
0.05,9.53,-110.04,-1.27,176.47,140.98,264241
0.05,9.53,-110.05,-1.27,176.47,141.00,264257
0.05,9.52,-110.06,-1.27,176.48,141.01,264273
0.05,9.57,-110.06,-1.22,176.53,141.02,264289
-0.29,9.02,-110.08,-0.77,177.20,141.06,264305
-0.80,8.66,-110.26,-0.43,162.02,141.29,264321
-0.78,8.82,-110.73,-0.45,146.77,141.81,264337
-0.67,8.87,-111.77,-0.37,132.73,143.00,264353
-0.14,8.69,-113.69,-0.50,118.97,145.05,264369
1.14,8.14,-115.81,-1.42,119.15,146.80,264385
0.83,9.58,-115.94,-1.26,119.49,146.82,264401
0.70,10.02,-115.91,-1.23,121.04,146.81,264417
0.66,10.00,-115.92,-1.25,122.70,146.82,264433
0.78,10.48,-116.09,-1.26,108.40,147.07,264449
1.15,12.11,-116.74,-0.70,109.15,147.91,264465
2.39,14.45,-117.93,-0.09,108.80,149.27,264481
3.54,17.81,-119.04,-0.09,106.02,150.25,264497
3.57,21.74,-119.35,0.01,103.46,150.38,264513
3.43,25.09,-118.93,0.01,101.68,149.84,264529
3.41,28.59,-118.32,-0.33,99.87,149.18,264545
3.39,32.82,-117.63,-0.70,97.09,148.39,264561
3.24,37.44,-116.74,-1.37,93.99,147.36,264577
2.65,42.00,-115.73,-1.62,91.41,146.26,264593
1.92,46.61,-115.02,-1.26,88.97,145.56,264609
1.51,51.47,-114.70,-0.90,86.06,145.27,264625
1.93,56.07,-114.67,-1.29,83.25,145.20,264641
2.34,59.83,-114.65,-1.55,81.24,145.16,264657
2.45,63.06,-114.75,-1.74,79.67,145.24,264673
2.40,65.84,-114.89,-1.91,78.52,145.36,264689
2.44,67.87,-114.97,-1.86,78.29,145.43,264705
2.64,68.97,-115.03,-1.87,78.74,145.51,264721
